箇所マスタの更新方法,,,,,,,,
　・組織の統廃合や、システム内の設定が変わった場合は、行の挿入や削除をして、eProStaff又はe-worksのコードの追加削除を行い、,,,,,,,,
　　それに合うようにオリジナルのコードを付けてください。該当するマスタ名がない場合は追加してください。,,,,,,,,
,,,,,,,,
,,,,,,,,
eProとe-worksチェックのオリジナルのマスタ,,,e-worksの箇所マスタ,,,eProStaffの箇所マスタ,,
順序,部門（上位）,部門（下位）,システム,部門コード,部門名称,システム,部門コード,部門名称
4141,熊本西Ｇ,熊本西Ｇ,,,,ePro,3.04E+11,
4141,熊本西Ｇ,熊本西Ｇ,,,,ePro,3.04E+11,車両整備
4141,熊本西Ｇ,熊本西Ｇ,,,,ePro,3.04E+11,環境
4151,新幹線熊本Ｇ,新幹線熊本Ｇ,e-works,3.04E+11,新幹線熊本G（A棟）,ePro,3.04E+11,新幹線熊本Ｇ
4151,新幹線熊本Ｇ,新幹線熊本Ｇ,e-works,3.04E+11,新幹線熊本G（F棟）,ePro,3.04E+11,車両整備
4161,熊本Ｇ,熊本Ｇ,e-works,3.04E+11,熊本G,ePro,3.04E+11,熊本Ｇ
4161,熊本Ｇ,熊本Ｇ,e-works,3.04E+11,熊本G（上熊本）,ePro,3.04E+11,熊本シティ
4161,熊本Ｇ,熊本Ｇ,e-works,3.04E+11,熊本G（水前寺）,ePro,3.04E+11,ビル(春日白川)
4161,熊本Ｇ,熊本Ｇ,e-works,3.04E+11,熊本G（駅清掃）,ePro,3.04E+11,ビル(その他)
4161,熊本Ｇ,熊本Ｇ,e-works,3.04E+11,熊本G（新八代）,ePro,3.04E+11,クリーン
4161,熊本G,熊本G,e-works,3.04E+11,熊本G（荒尾）,,,
4161,熊本G,熊本G,e-works,3.04E+11,熊本Ｇ（駅清掃）,,,
5111,大分支店,大分支店,e-works,3.03E+11,大分支店,ePro,3.03E+11,大分支店
5111,大分支店,大分支店,,,,ePro,3.03E+11,全般管理
5121,大分鉄道Ｇ,大分鉄道Ｇ,e-works,3.03E+11,大分鉄道G,ePro,3.03E+11,大分鉄道Ｇ
5121,大分鉄道Ｇ,大分鉄道Ｇ,e-works,3.03E+11,大分鉄道G（車両整備）,ePro,3.03E+11,車両整備
5121,大分鉄道Ｇ,大分鉄道Ｇ,e-works,3.03E+11,大分鉄道G駅派出,ePro,3.03E+11,大分駅派出
5121,大分鉄道Ｇ,大分鉄道Ｇ,e-works,3.03E+11,大分鉄道G（クリーン）,ePro,3.03E+11,別府駅派出
5121,大分鉄道Ｇ,大分鉄道Ｇ,,,,ePro,3.03E+11,中津駅派出
5121,大分鉄道Ｇ,大分鉄道Ｇ,,,,ePro,3.03E+11,環境
5121,大分鉄道Ｇ,大分鉄道Ｇ,,,,ePro,3.03E+11,クリーン
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG,ePro,3.03E+11,大分シティＧ
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（アミュプラザ）,ePro,3.03E+11,ビル清掃
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（別府ステビル）,ePro,3.03E+11,ビル清掃別府ステビル
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（中山香）,ePro,3.03E+11,ビル清掃中山香
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（亀川）,ePro,3.03E+11,ビル清掃亀川
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（うちのう）,ePro,3.03E+11,ビル清掃うちのう
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（フードコート）,ePro,3.03E+11,ビル清掃フードコート
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（クリーンセンター）,,,
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（温浴）,,,
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（にわさき）,,,
5141,大分シティＧ,大分シティＧ,e-works,3.03E+11,大分シティG（SJR）,,,
6111,鹿児島支店,鹿児島支店,e-works,3.05E+11,鹿児島支店,ePro,3.05E+11,鹿児島支店
6111,鹿児島支店,鹿児島支店,,,,ePro,3.05E+11,全般管理
6121,鹿児島鉄道Ｇ,鹿児島鉄道Ｇ,e-works,3.05E+11,鹿児島鉄道G,ePro,3.05E+11,鹿児島鉄道Ｇ
6121,鹿児島鉄道Ｇ,鹿児島鉄道Ｇ,e-works,3.05E+11,鹿児島鉄道G（鉄道整備）,ePro,3.05E+11,車両整備
6121,鹿児島鉄道Ｇ,鹿児島鉄道Ｇ,,,,ePro,3.05E+11,環境
6121,鹿児島鉄道Ｇ,鹿児島鉄道Ｇ,,,,ePro,3.05E+11,
6141,鹿児島中央Ｇ,鹿児島中央Ｇ,e-works,3.05E+11,鹿児島中央G,ePro,3.05E+11,鹿児島中央Ｇ
6141,鹿児島中央Ｇ,鹿児島中央Ｇ,,,,ePro,3.05E+11,駅清掃
6141,鹿児島中央Ｇ,鹿児島中央Ｇ,,,,ePro,3.05E+11,新幹線・駅清掃
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,30510,ビル清掃,ePro,3.05E+11,鹿児島シティＧ
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,30520,ビル清掃クリーン,ePro,3.05E+11,ビル清掃
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,30530,ビル清掃夜勤,ePro,3.05E+11,ホテル鹿児島
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,3.05E+11,鹿児島シティG,ePro,3.05E+11,ビル
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,3.05E+11,鹿児島シティG（ビル清掃）,,,
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,3.05E+11,鹿児島シティG（ホテル鹿児島）,,,
6151,鹿児島シティＧ,鹿児島シティＧ,e-works,3.05E+11,鹿児島シティG（ビル）,,,
7121,宮崎Ｇ,宮崎Ｇ,e-works,3.05E+11,宮崎G,ePro,3.05E+11,宮崎Ｇ
7121,宮崎Ｇ,宮崎Ｇ,e-works,3.05E+11,宮崎G（鉄道整備）,ePro,3.05E+11,車両整備
7121,宮崎Ｇ,宮崎Ｇ,e-works,3.05E+11,宮崎G（ビル）,ePro,3.05E+11,駅清掃
7121,宮崎Ｇ,宮崎Ｇ,e-works,3.05E+11,宮崎G（宮崎シティ）,ePro,3.05E+11,環境
7121,宮崎Ｇ,宮崎Ｇ,,,,ePro,3.05E+11,ビル
7121,宮崎Ｇ,宮崎Ｇ,,,,ePro,3.05E+11,宮崎シティ
7121,宮崎Ｇ,宮崎Ｇ,,,,ePro,3.05E+11,クリーン
7141,宮崎シティＧ,宮崎シティＧ,e-works,3.05E+11,宮崎シティG,ePro,3.05E+11,
7141,宮崎シティＧ,宮崎シティＧ,e-works,3.05E+11,宮崎シティG（宮崎シティ）,ePro,3.05E+11,
7141,宮崎シティＧ,宮崎シティＧ,,,,ePro,3.05E+11,
7141,宮崎シティＧ,宮崎シティＧ,,,,ePro,3.05E+11,
